8.9125E-09	9.4406E-09	1.4220E-04		1.5055E+04	      	1.6372E-05		1.20E-04		1.36E+04	1.28E-04	1.4752E-05
1.0000E-08	1.0593E-08	1.7181E-04		1.6211E+04	      	1.9780E-05		1.45E-04		1.46E+04	1.55E-04	1.7823E-05
1.1220E-08	1.1885E-08	2.0669E-04		1.7381E+04	      	2.3796E-05		1.74E-04		1.57E+04	1.86E-04	2.1442E-05
1.2589E-08	1.3335E-08	2.4712E-04		1.8521E+04	      	2.8450E-05		2.08E-04		1.67E+04	2.23E-04	2.5635E-05
1.4125E-08	1.4962E-08	2.9375E-04		1.9621E+04	      	3.3819E-05		2.47E-04		1.77E+04	2.65E-04	3.0472E-05
1.5849E-08	1.6788E-08	3.4679E-04		2.0645E+04	      	3.9926E-05		2.92E-04		1.86E+04	3.12E-04	3.5975E-05
1.7783E-08	1.8836E-08	4.0571E-04		2.1526E+04	      	4.6709E-05		3.42E-04		1.94E+04	3.66E-04	4.2087E-05
1.9953E-08	2.1135E-08	4.7092E-04		2.2269E+04	      	5.4217E-05		3.97E-04		2.01E+04	4.24E-04	4.8852E-05
2.2387E-08	2.3714E-08	5.4121E-04		2.2810E+04	      	6.2310E-05		4.56E-04		2.06E+04	4.88E-04	5.6144E-05
2.5119E-08	2.6607E-08	6.1460E-04		2.3086E+04	      	7.0758E-05		5.18E-04		2.08E+04	5.54E-04	6.3756E-05
2.8184E-08	2.9854E-08	6.8850E-04		2.3050E+04	      	7.9266E-05		5.80E-04		2.08E+04	6.20E-04	7.1423E-05
3.1623E-08	3.3497E-08	7.6193E-04		2.2734E+04	      	8.7721E-05		6.42E-04		2.05E+04	6.87E-04	7.9041E-05
3.5481E-08	3.7584E-08	8.2930E-04		2.2053E+04	      	9.5476E-05		6.98E-04		1.99E+04	7.47E-04	8.6029E-05
3.9811E-08	4.2170E-08	8.8870E-04		2.1063E+04	      	1.0232E-04		7.48E-04		1.90E+04	8.01E-04	9.2191E-05
4.4668E-08	4.7315E-08	9.3199E-04		1.9687E+04	      	1.0730E-04		7.85E-04		1.77E+04	8.40E-04	9.6682E-05
5.0119E-08	5.3088E-08	9.5770E-04		1.8030E+04	      	1.1026E-04		8.07E-04		1.62E+04	8.63E-04	9.9349E-05
5.6234E-08	5.9566E-08	9.6022E-04		1.6111E+04	      	1.1055E-04		8.09E-04		1.45E+04	8.65E-04	9.9611E-05
6.3096E-08	6.6834E-08	9.3972E-04		1.4053E+04	      	1.0819E-04		7.91E-04		1.27E+04	8.47E-04	9.7484E-05
7.0795E-08	7.4989E-08	8.9495E-04		1.1928E+04	      	1.0304E-04		7.54E-04		1.07E+04	8.06E-04	9.2840E-05
7.9433E-08	8.4140E-08	8.2963E-04		9.8547E+03	      	9.5515E-05		6.99E-04		8.88E+03	7.48E-04	8.6063E-05
8.9125E-08	9.4406E-08	7.4945E-04		7.9342E+03	      	8.6284E-05		6.31E-04		7.15E+03	6.75E-04	7.7746E-05
1.0000E-07	1.0593E-07	6.5974E-04		6.2249E+03	      	7.5955E-05		5.56E-04		5.61E+03	5.94E-04	6.8439E-05
1.1220E-07	1.1885E-07	5.6757E-04		4.7729E+03	      	6.5344E-05		4.78E-04		4.30E+03	5.11E-04	5.8878E-05
1.2589E-07	1.3335E-07	4.8000E-04		3.5975E+03	      	5.5262E-05		4.04E-04		3.24E+03	4.33E-04	4.9793E-05
1.4125E-07	1.4962E-07	4.0143E-04		2.6815E+03	      	4.6216E-05		3.38E-04		2.42E+03	3.62E-04	4.1643E-05
